goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseXmlStreamParser/medium-48        	  521146	     30406 ns/op	  35.19 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  351579	     28609 ns/op	  37.40 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  492080	     27804 ns/op	  38.48 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  617479	     29644 ns/op	  36.10 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  396583	     30231 ns/op	  35.39 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  450157	     31359 ns/op	  34.12 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  393452	     32966 ns/op	  32.46 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  414278	     30916 ns/op	  34.61 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  596539	     31981 ns/op	  33.46 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-48        	  353062	     31724 ns/op	  33.73 MB/s	   15390 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   63814	    194689 ns/op	  37.12 MB/s	  100732 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   62302	    191383 ns/op	  37.76 MB/s	  100734 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   63015	    198620 ns/op	  36.38 MB/s	  100732 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   62114	    189159 ns/op	  38.20 MB/s	  100733 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   73440	    178821 ns/op	  40.41 MB/s	  100730 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   63717	    196408 ns/op	  36.79 MB/s	  100733 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   61176	    191565 ns/op	  37.72 MB/s	  100734 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   60256	    184678 ns/op	  39.13 MB/s	  100733 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   60380	    191921 ns/op	  37.65 MB/s	  100733 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-48         	   69543	    198111 ns/op	  36.47 MB/s	  100734 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1452	   8145052 ns/op	  59.25 MB/s	 7602212 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1536	   8412113 ns/op	  57.37 MB/s	 7600178 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    2034	   8058546 ns/op	  59.88 MB/s	 7592173 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1441	   8024869 ns/op	  60.13 MB/s	 7602968 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1652	   7884098 ns/op	  61.21 MB/s	 7598759 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1503	   7561852 ns/op	  63.82 MB/s	 7598991 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    2043	   7485414 ns/op	  64.47 MB/s	 7596583 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1430	   7709022 ns/op	  62.60 MB/s	 7593438 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1592	   9008987 ns/op	  53.57 MB/s	 7597654 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-48        	    1393	   8151977 ns/op	  59.20 MB/s	 7602380 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     774	  15602031 ns/op	  96.99 MB/s	16779585 B/op	  218255 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     811	  15149353 ns/op	  99.89 MB/s	16757976 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     775	  15615665 ns/op	  96.91 MB/s	16790964 B/op	  218255 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     714	  15477395 ns/op	  97.77 MB/s	16812334 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     786	  16083662 ns/op	  94.09 MB/s	16766369 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     744	  15222009 ns/op	  99.41 MB/s	16757139 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     712	  14563256 ns/op	 103.91 MB/s	16810350 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     891	  15137716 ns/op	  99.97 MB/s	16749794 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     841	  14251753 ns/op	 106.18 MB/s	16798788 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-48       	     888	  12957219 ns/op	 116.79 MB/s	16792564 B/op	  218254 allocs/op
BenchmarkParseXmlvector/small-48               	152395963	        75.85 ns/op	2122.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	156619921	        76.30 ns/op	2110.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	149091806	        80.23 ns/op	2006.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	157038816	        77.87 ns/op	2067.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	153672747	        81.20 ns/op	1982.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	144746547	        84.76 ns/op	1899.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	148218495	        80.49 ns/op	2000.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	150466006	        80.52 ns/op	1999.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	152593159	        80.50 ns/op	2000.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-48               	151585371	        80.45 ns/op	2001.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	33688711	       381.8 ns/op	2802.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	33258954	       368.1 ns/op	2906.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	32183254	       377.7 ns/op	2832.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	31992157	       366.3 ns/op	2921.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	33518101	       362.4 ns/op	2952.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	35468541	       365.6 ns/op	2927.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	35125404	       376.4 ns/op	2842.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	30954208	       404.4 ns/op	2645.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	35299675	       355.2 ns/op	3012.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-48              	35954901	       369.0 ns/op	2900.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3612662	      3430 ns/op	2106.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3597282	      3423 ns/op	2111.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3610310	      3387 ns/op	2133.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3692820	      3350 ns/op	2157.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3602151	      3345 ns/op	2160.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3695589	      3273 ns/op	2208.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3764865	      3246 ns/op	2226.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3727368	      3360 ns/op	2150.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3622753	      3339 ns/op	2164.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-48               	 3632290	      3353 ns/op	2154.87 MB/s	       0 B/op	       0 allocs/op
