goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseXmlStreamParser/medium-8        	 2035873	      6042 ns/op	 177.09 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1994781	      6041 ns/op	 177.13 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1978834	      5942 ns/op	 180.06 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1982955	      6112 ns/op	 175.06 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1998685	      6106 ns/op	 175.23 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1982398	      5989 ns/op	 178.65 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2012928	      6019 ns/op	 177.76 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1978218	      6069 ns/op	 176.31 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1993941	      5971 ns/op	 179.20 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2003798	      6001 ns/op	 178.30 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  267348	     43210 ns/op	 167.23 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  275512	     43283 ns/op	 166.95 MB/s	  100712 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  259780	     42636 ns/op	 169.48 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  262815	     42899 ns/op	 168.44 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  263490	     42600 ns/op	 169.63 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  278532	     45173 ns/op	 159.96 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  286581	     41745 ns/op	 173.10 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  289706	     41368 ns/op	 174.68 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  288824	     41538 ns/op	 173.96 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  289585	     41341 ns/op	 174.79 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    3999	   2941199 ns/op	 164.07 MB/s	 7587164 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4105	   2910071 ns/op	 165.83 MB/s	 7586693 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4074	   2875605 ns/op	 167.81 MB/s	 7586919 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4214	   2851811 ns/op	 169.21 MB/s	 7586186 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4278	   2910072 ns/op	 165.83 MB/s	 7586757 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4009	   2849306 ns/op	 169.36 MB/s	 7586196 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4180	   2991947 ns/op	 161.29 MB/s	 7586180 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4051	   2922262 ns/op	 165.14 MB/s	 7586666 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4206	   2881698 ns/op	 167.46 MB/s	 7586858 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4098	   2853169 ns/op	 169.13 MB/s	 7586766 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1594	   7741067 ns/op	 195.49 MB/s	16719572 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1600	   7572335 ns/op	 199.84 MB/s	16719517 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1555	   7456159 ns/op	 202.96 MB/s	16714796 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1592	   7921652 ns/op	 191.03 MB/s	16712862 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1608	   7723403 ns/op	 195.93 MB/s	16718571 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1578	   7807341 ns/op	 193.83 MB/s	16718705 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1543	   7448430 ns/op	 203.17 MB/s	16715836 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1621	   7401920 ns/op	 204.44 MB/s	16718466 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1575	   7837866 ns/op	 193.07 MB/s	16718588 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1587	   7573303 ns/op	 199.82 MB/s	16711812 B/op	  218254 allocs/op
BenchmarkParseXmlvector/small-8               	35442705	       334.2 ns/op	 481.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35799560	       334.1 ns/op	 481.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35775140	       334.0 ns/op	 482.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35956264	       334.2 ns/op	 481.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35866057	       334.5 ns/op	 481.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35795469	       336.1 ns/op	 478.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35747442	       336.2 ns/op	 478.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35747499	       334.7 ns/op	 480.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35879950	       334.7 ns/op	 481.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/small-8               	35750041	       335.5 ns/op	 479.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8090386	      1485 ns/op	 720.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8053484	      1482 ns/op	 721.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8074572	      1489 ns/op	 718.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8097649	      1488 ns/op	 718.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8087608	      1488 ns/op	 718.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8080119	      1484 ns/op	 720.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8074864	      1486 ns/op	 720.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8074233	      1490 ns/op	 718.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8037001	      1489 ns/op	 718.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/medium-8              	 8071161	      1489 ns/op	 718.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  899380	     13234 ns/op	 546.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  900106	     13238 ns/op	 545.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  867980	     13299 ns/op	 543.37 MB/s	       0 B/op	       0 allocs/op
