goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseXmlStreamParser/medium-8        	 1959951	      5904 ns/op	 181.24 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1968436	      5994 ns/op	 178.51 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1994200	      5924 ns/op	 180.63 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2042288	      6254 ns/op	 171.10 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2030031	      6003 ns/op	 178.25 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1983976	      5930 ns/op	 180.44 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2008954	      6049 ns/op	 176.89 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2009000	      6011 ns/op	 178.01 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2007207	      6017 ns/op	 177.83 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1998246	      6049 ns/op	 176.88 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  265680	     42653 ns/op	 169.42 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  292586	     43387 ns/op	 166.55 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  255384	     42912 ns/op	 168.39 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  293509	     42666 ns/op	 169.36 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  294276	     42751 ns/op	 169.02 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  291663	     43985 ns/op	 164.28 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  291285	     42780 ns/op	 168.91 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  280950	     43314 ns/op	 166.83 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  290598	     42873 ns/op	 168.54 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/large-8         	  267618	     43549 ns/op	 165.93 MB/s	  100711 B/op	    1249 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4081	   3120392 ns/op	 154.65 MB/s	 7587143 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    3972	   3168992 ns/op	 152.28 MB/s	 7586350 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4160	   2970107 ns/op	 162.47 MB/s	 7587011 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4029	   3056699 ns/op	 157.87 MB/s	 7585960 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4033	   2991668 ns/op	 161.30 MB/s	 7586077 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4197	   3076003 ns/op	 156.88 MB/s	 7585827 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4251	   2985797 ns/op	 161.62 MB/s	 7586396 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    3768	   3139496 ns/op	 153.71 MB/s	 7585788 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4062	   2959548 ns/op	 163.05 MB/s	 7586538 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/sigmod-8        	    4125	   3008643 ns/op	 160.39 MB/s	 7586407 B/op	   73672 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1620	   7810875 ns/op	 193.74 MB/s	16719506 B/op	  218254 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1416	   7645434 ns/op	 197.93 MB/s	16718474 B/op	  218255 allocs/op
BenchmarkParseXmlStreamParser/mondial-8       	    1581	   7758963 ns/op	 195.04 MB/s	16719638 B/op	  218254 allocs/op
