goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseFastJSON/twitter-48       	  677950	    100887 ns/op	6259.64 MB/s	       8 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  754334	    101727 ns/op	6207.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  669865	    102797 ns/op	6143.29 MB/s	       8 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  680064	    102151 ns/op	6182.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  693358	     99492 ns/op	6347.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  653600	    102026 ns/op	6189.71 MB/s	      10 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  723940	     98796 ns/op	6392.13 MB/s	      14 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  660027	     99021 ns/op	6377.61 MB/s	       8 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        30.58 ns/op	6212.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        28.07 ns/op	6769.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        28.92 ns/op	6569.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        30.58 ns/op	6213.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        27.77 ns/op	6841.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        29.85 ns/op	6365.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        31.98 ns/op	5941.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        31.23 ns/op	6083.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        31.73 ns/op	5987.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        29.13 ns/op	6522.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	341512008	       226.8 ns/op	10270.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	333538422	       218.7 ns/op	10649.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	336500587	       220.4 ns/op	10566.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	336246346	       218.6 ns/op	10652.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	314576356	       223.0 ns/op	10444.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	320692119	       232.0 ns/op	10039.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	330767415	       216.9 ns/op	10736.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	325431888	       225.9 ns/op	10308.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	321911923	       224.1 ns/op	10393.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-48      	337270117	       215.7 ns/op	10798.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	21878383	      3184 ns/op	8831.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	23492490	      3112 ns/op	9036.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	23308636	      3212 ns/op	8753.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	23455533	      3142 ns/op	8947.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	22427580	      3171 ns/op	8866.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	22235482	      3125 ns/op	8998.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	23204974	      3119 ns/op	9015.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	22215373	      3215 ns/op	8747.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	22517719	      3182 ns/op	8836.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-48       	23547268	      3164 ns/op	8886.02 MB/s	       0 B/op	       0 allocs/op
