goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseFastJSON/twitter-8       	  305784	    236991 ns/op	2664.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  306548	    238164 ns/op	2651.59 MB/s	      17 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  307789	    236868 ns/op	2666.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  293198	    240692 ns/op	2623.75 MB/s	      18 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  305290	    236626 ns/op	2668.83 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  304704	    237433 ns/op	2659.76 MB/s	      17 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  299535	    239603 ns/op	2635.66 MB/s	      17 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  305379	    248115 ns/op	2545.25 MB/s	      17 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	256337665	       261.7 ns/op	 726.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	270252145	       261.4 ns/op	 726.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	271489964	       263.0 ns/op	 722.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	269655037	       265.4 ns/op	 716.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	283948352	       254.4 ns/op	 746.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	265004440	       268.3 ns/op	 708.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	277127628	       258.7 ns/op	 734.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	278212561	       259.2 ns/op	 732.93 MB/s	       0 B/op	       0 allocs/op
