goos: darwin
goarch: arm64
pkg: github.com/koykov/versus/jsonvector
BenchmarkParseFastJSON/twitter-12       	 1763623	     41042 ns/op	15387.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1815624	     39727 ns/op	15896.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1807992	     39722 ns/op	15898.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1814341	     39639 ns/op	15931.69 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1759444	     40869 ns/op	15452.10 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1798146	     39685 ns/op	15913.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1575616	     45713 ns/op	13814.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        38.31 ns/op	4959.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        40.77 ns/op	4660.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        44.37 ns/op	4282.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        43.28 ns/op	4390.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        42.02 ns/op	4521.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        49.75 ns/op	3819.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        43.84 ns/op	4334.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        46.40 ns/op	4095.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        43.75 ns/op	4343.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        42.67 ns/op	4452.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	254664937	       284.2 ns/op	8195.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	255099188	       284.5 ns/op	8186.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	252347756	       288.3 ns/op	8079.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	254891030	       286.4 ns/op	8132.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	254834616	       284.3 ns/op	8193.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	252249847	       284.4 ns/op	8187.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	254354952	       286.5 ns/op	8127.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	254704353	       285.8 ns/op	8147.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	253661245	       286.3 ns/op	8134.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-12      	253664404	       283.4 ns/op	8217.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16031160	      4497 ns/op	6253.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16008427	      4519 ns/op	6221.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-12       	16087365	      4495 ns/op	6255.58 MB/s	       0 B/op	       0 allocs/op
