goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseFastJSON/twitter-48       	  752608	     97739 ns/op	6461.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  718732	    101783 ns/op	6204.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  699724	    101968 ns/op	6193.25 MB/s	     187 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  738753	    100861 ns/op	6261.22 MB/s	      14 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  727802	     98576 ns/op	6406.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  684916	    104446 ns/op	6046.32 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  685975	     99560 ns/op	6343.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-48       	  689107	     98142 ns/op	6434.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        49.40 ns/op	3846.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        58.44 ns/op	3251.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        45.90 ns/op	4139.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        51.07 ns/op	3720.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        47.62 ns/op	3989.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        47.96 ns/op	3961.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        50.52 ns/op	3760.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        46.13 ns/op	4118.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        57.38 ns/op	3311.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-48       	1000000000	        59.18 ns/op	3210.81 MB/s	       0 B/op	       0 allocs/op
