goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseFastJSON/twitter-8       	  173234	    227368 ns/op	2777.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  136012	    228633 ns/op	2762.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  158013	    215429 ns/op	2931.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  172102	    216766 ns/op	2913.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  170688	    214403 ns/op	2945.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  162429	    214353 ns/op	2946.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  158552	    215381 ns/op	2932.08 MB/s	      32 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  172575	    216626 ns/op	2915.23 MB/s	      30 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	247196818	       146.0 ns/op	1301.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	245949412	       147.5 ns/op	1288.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	252192003	       144.7 ns/op	1312.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	247270048	       147.0 ns/op	1292.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	250307342	       144.5 ns/op	1315.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	249985410	       143.2 ns/op	1326.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	251326278	       146.7 ns/op	1294.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	248804362	       143.1 ns/op	1327.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	257932189	       142.5 ns/op	1333.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	251755712	       143.1 ns/op	1327.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	31537083	      1089 ns/op	2138.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	32691153	      1089 ns/op	2138.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	32262972	      1149 ns/op	2026.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	32787006	      1085 ns/op	2146.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	32723160	      1085 ns/op	2147.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	33489292	      1083 ns/op	2150.71 MB/s	       0 B/op	       0 allocs/op
