goos: darwin
goarch: arm64
pkg: github.com/koykov/versus/jsonvector
BenchmarkParseFastJSON/twitter-12       	 1817134	     39746 ns/op	15888.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1592379	     45078 ns/op	14009.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1728691	     41522 ns/op	15209.16 MB/s	       3 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1810472	     39732 ns/op	15894.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1698028	     42290 ns/op	14932.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1638556	     43933 ns/op	14374.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-12       	 1733452	     41578 ns/op	15188.79 MB/s	       3 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        27.15 ns/op	6998.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        35.87 ns/op	5297.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        35.31 ns/op	5380.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        34.55 ns/op	5499.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        32.43 ns/op	5859.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        28.00 ns/op	6785.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        29.10 ns/op	6529.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        35.66 ns/op	5328.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        35.11 ns/op	5411.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-12       	1000000000	        33.77 ns/op	5626.82 MB/s	       0 B/op	       0 allocs/op
