goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseFastJSON/twitter-8       	  542377	    132599 ns/op	4762.59 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  537811	    132648 ns/op	4760.84 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  542400	    132366 ns/op	4770.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  543458	    132236 ns/op	4775.65 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  543537	    132438 ns/op	4768.38 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  543854	    132191 ns/op	4777.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  543000	    132811 ns/op	4754.97 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  544285	    132276 ns/op	4774.23 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	774574620	        93.03 ns/op	2042.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	767940375	        94.13 ns/op	2018.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	786682743	        91.69 ns/op	2072.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	775676706	        93.10 ns/op	2040.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	775049151	        94.01 ns/op	2021.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	774125326	        92.99 ns/op	2043.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	770075247	        92.90 ns/op	2045.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	776215693	        93.60 ns/op	2029.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	772591756	        93.21 ns/op	2038.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	775632525	        92.66 ns/op	2050.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       712.4 ns/op	3269.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       710.8 ns/op	3276.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       710.7 ns/op	3276.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       709.3 ns/op	3283.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       710.8 ns/op	3276.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       711.3 ns/op	3274.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       710.4 ns/op	3278.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       710.4 ns/op	3278.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       709.9 ns/op	3280.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	100000000	       712.7 ns/op	3268.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7239481	      9947 ns/op	2826.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7232032	      9944 ns/op	2827.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7244374	      9944 ns/op	2827.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7239840	      9947 ns/op	2826.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7233970	      9950 ns/op	2825.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7239315	      9962 ns/op	2822.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7232456	      9948 ns/op	2826.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7243862	      9944 ns/op	2827.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/large-8       	 7242441	      9947 ns/op	2826.89 MB/s	       0 B/op	       0 allocs/op
