goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseFastJSON/twitter-8       	  172454	    219632 ns/op	2875.33 MB/s	      30 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  172584	    223456 ns/op	2826.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  172183	    217681 ns/op	2901.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  164635	    215731 ns/op	2927.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  160011	    216853 ns/op	2912.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  168526	    219410 ns/op	2878.23 MB/s	      30 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  169506	    217734 ns/op	2900.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/twitter-8       	  170797	    217672 ns/op	2901.22 MB/s	      30 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	155130992	       230.5 ns/op	 824.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	157205491	       230.7 ns/op	 823.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	155205190	       233.9 ns/op	 812.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	157882137	       231.2 ns/op	 821.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	155191120	       229.4 ns/op	 828.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	152760543	       235.4 ns/op	 807.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	154957088	       233.1 ns/op	 815.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	155128412	       234.9 ns/op	 808.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	148851554	       232.5 ns/op	 817.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/small-8       	156614209	       230.7 ns/op	 823.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	19098429	      1786 ns/op	1303.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	20754157	      1790 ns/op	1301.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	19397584	      1786 ns/op	1303.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	21678741	      1789 ns/op	1302.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	19279412	      1913 ns/op	1217.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/medium-8      	19557847	      1876 ns/op	1241.32 MB/s	       0 B/op	       0 allocs/op
