goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseNetUrl/small-8           	205235576	       176.9 ns/op	 152.62 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	202210210	       181.5 ns/op	 148.79 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	196260979	       180.5 ns/op	 149.62 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	200882239	       179.9 ns/op	 150.07 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	192759006	       187.7 ns/op	 143.84 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	197482514	       182.4 ns/op	 148.04 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	196800109	       183.3 ns/op	 147.29 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	196038602	       184.0 ns/op	 146.70 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	195182692	       184.5 ns/op	 146.31 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	160441128	       224.3 ns/op	 303.18 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	161096665	       225.3 ns/op	 301.80 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	159246553	       227.3 ns/op	 299.12 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	156247010	       231.0 ns/op	 294.40 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	158574613	       225.0 ns/op	 302.21 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	158661621	       229.0 ns/op	 296.90 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	155331417	       232.7 ns/op	 292.23 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	156303222	       228.2 ns/op	 297.99 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	157466062	       230.0 ns/op	 295.69 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	156016861	       231.0 ns/op	 294.37 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	51909835	       708.1 ns/op	 314.91 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	51960056	       692.7 ns/op	 321.93 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	52053818	       693.2 ns/op	 321.71 MB/s	     960 B/op	       4 allocs/op
