goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseNetUrl/small-8           	160100089	       229.9 ns/op	 117.45 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	142706740	       228.6 ns/op	 118.13 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	158928675	       229.1 ns/op	 117.87 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	157835792	       227.2 ns/op	 118.82 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	158148986	       228.4 ns/op	 118.23 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	159377454	       228.1 ns/op	 118.36 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	159955744	       227.3 ns/op	 118.77 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	157579278	       227.4 ns/op	 118.73 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	131885652	       289.0 ns/op	 235.30 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	131881062	       274.3 ns/op	 247.90 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	132400876	       277.4 ns/op	 245.16 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	130412791	       275.4 ns/op	 246.91 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	124048003	       288.5 ns/op	 235.71 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	129850724	       276.2 ns/op	 246.24 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	131705043	       270.5 ns/op	 251.38 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	132048922	       273.2 ns/op	 248.92 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	133824576	       274.3 ns/op	 247.91 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	132243853	       275.6 ns/op	 246.70 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	43769888	       786.2 ns/op	 283.62 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	45173292	       789.5 ns/op	 282.46 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	43941620	       788.1 ns/op	 282.96 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	43835798	       786.1 ns/op	 283.67 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	43684888	       805.8 ns/op	 276.74 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	49450765	       795.3 ns/op	 280.39 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	43949440	       783.8 ns/op	 284.53 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	48884559	       776.4 ns/op	 287.24 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	44573756	       778.0 ns/op	 286.62 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	44999253	       781.4 ns/op	 285.38 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/big-8             	15735888	      2323 ns/op	 485.18 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	16686981	      2341 ns/op	 481.34 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	16011552	      2336 ns/op	 482.47 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	15453337	      2330 ns/op	 483.67 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	15236374	      2322 ns/op	 485.27 MB/s	    3041 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-8             	15156436	      2329 ns/op	 483.88 MB/s	    3041 B/op	      21 allocs/op
