goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseNetUrl/small-48           	31894740	      1015 ns/op	  26.60 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	37326958	      1087 ns/op	  24.84 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	37167817	      1112 ns/op	  24.27 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	31571455	      1162 ns/op	  23.23 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	29820147	      1049 ns/op	  25.73 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	33720577	      1073 ns/op	  25.15 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	36937776	      1121 ns/op	  24.08 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	31442515	      1092 ns/op	  24.72 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-48           	32382510	      1129 ns/op	  23.91 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	29938508	      1079 ns/op	  63.01 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	37874648	      1076 ns/op	  63.18 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	41723460	      1138 ns/op	  59.73 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	36141091	      1171 ns/op	  58.06 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	33956307	      1181 ns/op	  57.56 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	32036967	      1169 ns/op	  58.17 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	27273492	      1222 ns/op	  55.66 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	27352154	      1225 ns/op	  55.49 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	33401876	      1228 ns/op	  55.39 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-48          	30144895	      1198 ns/op	  56.76 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	20996852	      1792 ns/op	 124.45 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	22154078	      1924 ns/op	 115.91 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	18245811	      1852 ns/op	 120.38 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	18726238	      1851 ns/op	 120.49 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	18629846	      1762 ns/op	 126.53 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	29239339	      1911 ns/op	 116.72 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	18677252	      1918 ns/op	 116.25 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	17404372	      1885 ns/op	 118.30 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	21945363	      1887 ns/op	 118.16 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-48           	19230267	      1845 ns/op	 120.84 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/big-48             	 5845834	      6900 ns/op	 163.34 MB/s	    3045 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 5157846	      7109 ns/op	 158.54 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 4567814	      6624 ns/op	 170.15 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 5424080	      6819 ns/op	 165.27 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 5375696	      7204 ns/op	 156.45 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 4836338	      6989 ns/op	 161.26 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 5302226	      6945 ns/op	 162.27 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 5339673	      7107 ns/op	 158.57 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 4840879	      7344 ns/op	 153.46 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/big-48             	 4916708	      7155 ns/op	 157.50 MB/s	    3044 B/op	      21 allocs/op
BenchmarkParseNetUrl/giant-48           	43106908	       868.2 ns/op	2408.40 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	39602532	       872.6 ns/op	2396.22 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	42252718	       865.7 ns/op	2415.45 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	41793855	       868.7 ns/op	2407.01 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	41245916	       872.2 ns/op	2397.37 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	41098040	       877.0 ns/op	2384.30 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	40842776	       867.2 ns/op	2411.21 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	41909984	       868.4 ns/op	2407.82 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	40955050	       876.8 ns/op	2384.69 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseNetUrl/giant-48           	39264134	       882.3 ns/op	2369.92 MB/s	     192 B/op	       2 allocs/op
BenchmarkParseUrlvector/small-48        	816800484	        45.22 ns/op	 597.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	729593589	        48.89 ns/op	 552.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	817676251	        44.00 ns/op	 613.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	858769966	        42.24 ns/op	 639.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	831160510	        46.50 ns/op	 580.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	819727778	        44.48 ns/op	 607.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	801827905	        44.97 ns/op	 600.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	715446614	        52.12 ns/op	 518.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/small-48        	758442982	        44.74 ns/op	 603.52 MB/s	       0 B/op	       0 allocs/op
